question,answer
How long is the fellowship program?,The program is 4 months on a full-time basis.
How much does fellowship program cost?,The program is free to the fellows. You do not have to pay anything for the program.
What is the fellowship program?,Coding jobs with emerging tech product companies require confidence in everyday coding. BridgeLabz fellowship program gives engineers the chance to develop in-depth hands-on knowledge in a well-defined Tech Stack by developing real-world Apps. Also we guarantee your job with our partner product companies.
Can the fellowship program be done remotely?,No! We believe that interaction with the mentors and the live environment is very important for success in the fellowship program.
How do I get in?,You will require to register for one of our recruitment drives and pass our hackathon challenge which includes a technical interview.
How do I register for the fellowship program?,You can register here: http://codingtest.bridgelabz.com/apply?cid=NWNiNWNiYzBjZmY0N2UwMDA2MWJiNDJk
Do fellowship program offer any stipend or living accommodations?,We do not offer any stipend
Do fellowship program offer any package or living accommodations?,We help connect you to the right PG partners where majority of our 700 + past fellows have stayed and benefitted from. 
What do I need to know to be able to get through the Hackathon?,Try our sample MCQ questions from the Coding Café: Link This will give you an idea of what is expected of you. We look for creative problem-solving ability and basic coding proficiency. Also having some knowledge in any one of Android iOS Angular Mean or Spring Hibernate Tech Stack is a plus to qualify for the fellowship program.
What is the minimum qualification for the fellowship program?,All the candidates need to be Engineers or MCAs with minimum 60% Aggregate and very comfortable in Coding on Data Structures.
What can I expect in the technical interview?,The first interview depending on your skills demonstrated in your application and challenge submission will involve some or all of the following: Motivation and why you are interested in the fellowship Your answer to the Hackathon problems and the reasoning behind it.
What can fellowship engineer expect in the technical interview?,The first interview depending on your skills demonstrated in your application and challenge submission will involve some or all of the following: Motivation and why you are interested in the fellowship Your answer to the Hackathon problems and the reasoning behind it.
What happens to fellows after they graduate?,We have placed more than 500 engineers till date in 100+ partner companies. We partner with product companies of all sizes working on emerging tech like Capgemini Urban Ladder Yatra.com MetricStream etc. We guarantee your job with any of our partner companies and we keep partnering with more companies every month.
How much package I get after the fellowship program?,Our fellows get salaries benchmarked with the best in the industry. The specific salary can depend on the technology being worked on – but our fellows are rated as long term material by our partner companies and get salaries on par with on-campus hires. The starting salaries for fresh engineers can be between Rs 4 to 8 lacs per annum. 
What will be my starting salary?,Our fellows get salaries benchmark with the best in the industry. The specific salary can depend on the technology being worked on – but our fellows are rated as long term material by our partner companies and get salaries on par with on-campus hires.The starting salaries for fresh engineers can be between Rs 4 to 8 lacs per annum. 
What type of projects will the fellowship engineers get a chance to work on?,The fellowship engineers work on the actual real-world problem statements specially designed for getting you coding confident. The cloud-aware App development spans more than a month with direct interactions with the mentors. The goal is to deliver a product and not a project. We have industry experts who share their Product World experiences with the fellowship engineers.
What does the day-to-day look like?,From morning 8.30 AM to 7.30 PM the fellowship engineers are expected to code. In the beginning it is data structures later it is live sample app and lastly it is to develop App solving the real-world problem statement.
What percentage of the fellowship is developing real-world apps?,100% of fellowship engineers will be involved in developing Cloud Aware Apps solving real-world problems.
What tools will I get a chance to learn?,Essentially the Tech Stack we work on are Android iOS on Native Web Apps on Angular and React Backend Servers on Java Spring Hibernate and MEAN stack. All development is done on Linux Environment and for iOS in Mac Machine. We use Heroku and AWS Cloud. We use several other tech stacks like Redis for Caching and Messaging MQTT for Push Notifications Git Repository Dagger for Dependency Injection Retrofit Volley & Alamofire for Networking Rest Calls etc
What tools will fellowship engineer get a chance to learn?,Essentially the Tech Stack we work on are Android iOS on Native Web Apps on Angular and React Backend Servers on Java Spring Hibernate and MEAN stack. All development is done on Linux Environment and for iOS in Mac Machine. We use Heroku and AWS Cloud. We use several other tech stacks like Redis for Caching and Messaging MQTT for Push Notifications Git Repository Dagger for Dependency Injection Retrofit Volley & Alamofire for Networking Rest Calls etc
how much time will take to complete fellowship program?,The program is 4 months on a full-time basis.
Do I have weekends off in fellowship program?,Yes you will get every week sunday off.
Do I need to pay for fellowship program?,The program is free to the fellows. You do not have to pay anything for the program.
What does the day-to-day look like?,From morning 8.30 AM to 7.30 PM the fellowship engineers are expected to code. In the beginning it is data structures later it is live sample app and lastly it is to develop App solving the real-world problem statement.
what is the duration of the fellowship program?,The program is 4 months on a full-time basis.
What tools will I get a chance to work on?,Essentially the Tech Stack we work on are Android iOS on Native Web Apps on Angular and React Backend Servers on Java Spring Hibernate and MEAN stack. All development is done on Linux Environment and for iOS in Mac Machine. We use Heroku and AWS Cloud. We use several other tech stacks like Redis for Caching and Messaging MQTT for Push Notifications Git Repository Dagger for Dependency Injection Retrofit Volley & Alamofire for Networking Rest Calls etc
What tools will fellowship engineer get a chance to work on?,Essentially the Tech Stack we work on are Android iOS on Native Web Apps on Angular and React Backend Servers on Java Spring Hibernate and MEAN stack. All development is done on Linux Environment and for iOS in Mac Machine. We use Heroku and AWS Cloud. We use several other tech stacks like Redis for Caching and Messaging MQTT for Push Notifications Git Repository Dagger for Dependency Injection Retrofit Volley & Alamofire for Networking Rest Calls etc
Where training will be held?,Mumbai and Bangalore depending on your convenience. 
How do I get admission in training program?,You can register here: http://codingtest.bridgelabz.com/apply?cid=NWNiNWNiYzBjZmY0N2UwMDA2MWJiNDJk
What is the working hours of the training program?,From morning 8.30 AM to 7.30 PM the fellowship engineers are expected to code. In the beginning it is data structures later it is live sample app and lastly it is to develop App solving the real-world problem statement.
Do I get any living accommodations?,We help connect you to the right PG partners where majority of our 700 + past fellows have stayed and benefitted from. 
How do i reach to bridgelabz,"BridgeLabz Solutions LLP, No. 42, 14th Main, 15th Cross, Sector 4 ,opp to BDA complex, near Kumarakom restaurant, HSR Layout, Bangalore 560034"
What are the Relocation options provide by the Bridgelabz,We are directly not helping however our HR team supports the students with the details of a contact person
For Relocation bridgelabz will provide any support,Your locational preference is taken into consideration while deciding the final job location. 
Is this fellowship program applicable for Experienced persons,Currently we are supporting only Freshers. We will definitely get back to you on this through mail
